food_id,food_name,food_type,meal_type,quantity,expiry_date,provider_id,provider_name,city,provider_type,contact,claim_id,status
1,Bread,Non-Vegetarian,Breakfast,43,17-03-2025,110,Figueroa-Soto,South Kellyville,Grocery Store, 599442-0494,491,Completed
2,Soup,Non-Vegetarian,Dinner,22,24-03-2025,791,Aguilar Group,West James,Grocery Store, 390257-0518-4479,0,Not Claimed
3,Fruits,Vegan,Breakfast,46,28-03-2025,478,"Lopez, Roach and Roach",Lake Regina,Catering Service,001-785-448-3246-762,859,Cancelled
4,Fruits,Vegan,Lunch,15,16-03-2025,930,Cannon-Garcia,Kellytown,Restaurant,9421508200,0,Not Claimed
5,Soup,Vegan,Dinner,14,19-03-2025,279,"Greene, Wood and Hernandez",Garciaport,Restaurant,238-551-4657,0,Not Claimed
6,Vegetables,Vegan,Snacks,4,24-03-2025,378,Foster Ltd,South Johnshire,Supermarket,7045041352,309,Cancelled
7,Dairy,Vegan,Dinner,29,25-03-2025,268,"White, Hutchinson and Williams",Nolanmouth,Grocery Store,655-056-4788-798,879,Pending
8,Rice,Vegetarian,Lunch,49,28-03-2025,343,"Harris, Perez and Willis",South Christopherborough,Catering Service,581-281-6112,0,Not Claimed
9,Bread,Non-Vegetarian,Snacks,46,25-03-2025,47,Wong-Reese,East Andrewland,Supermarket,483-625-4097,143,Completed
10,Rice,Vegan,Dinner,41,20-03-2025,528,Baird PLC,Markport,Supermarket,001-930-122-6265-199,0,Not Claimed
11,Pasta,Vegan,Breakfast,39,17-03-2025,96,"Pierce, Walsh and Rogers",Deborahland,Grocery Store,-5868,471,Cancelled
12,Pasta,Vegetarian,Lunch,15,28-03-2025,899,"Jackson, Lee and Hodge",North Steven,Catering Service,001-319-954-4598-21954,0,Not Claimed
13,Fruits,Vegetarian,Snacks,33,22-03-2025,115,Wells-Davis,Floresville,Grocery Store,322-221-0619-89960,899,Pending
14,Bread,Vegetarian,Dinner,19,30-03-2025,621,Chan Group,Sarahland,Supermarket,-9214,0,Not Claimed
15,Salad,Vegetarian,Breakfast,3,22-03-2025,74,Johnston Ltd,Belindaville,Catering Service,5630753213,0,Not Claimed
