"food_id","food_name","food_type","meal_type","quantity","expiry_date","provider_id","provider_name","city","provider_type","contact","claim_id","status"
1,"Bread","Non-Vegetarian","Breakfast",43,"2025-03-17",110,"Figueroa-Soto","South Kellyville","Grocery Store"," 599442-0494",491,"Completed"
1,"Bread","Non-Vegetarian","Breakfast",43,"2025-03-17",110,"Figueroa-Soto","South Kellyville","Grocery Store"," 599442-0494",984,"Completed"
2,"Soup","Non-Vegetarian","Dinner",22,"2025-03-24",791,"Aguilar Group","West James","Grocery Store"," 390257-0518-4479",0,"Not Claimed"
3,"Fruits","Vegan","Breakfast",46,"2025-03-28",478,"Lopez, Roach and Roach","Lake Regina","Catering Service","001-785-448-3246-762",859,"Cancelled"
4,"Fruits","Vegan","Lunch",15,"2025-03-16",930,"Cannon-Garcia","Kellytown","Restaurant","9421508200",0,"Not Claimed"
5,"Soup","Vegan","Dinner",14,"2025-03-19",279,"Greene, Wood and Hernandez","Garciaport","Restaurant","238-551-4657",0,"Not Claimed"
6,"Vegetables","Vegan","Snacks",4,"2025-03-24",378,"Foster Ltd","South Johnshire","Supermarket","7045041352",309,"Cancelled"
7,"Dairy","Vegan","Dinner",29,"2025-03-25",268,"White, Hutchinson and Williams","Nolanmouth","Grocery Store","655-056-4788-798",879,"Pending"
8,"Rice","Vegetarian","Lunch",49,"2025-03-28",343,"Harris, Perez and Willis","South Christopherborough","Catering Service","581-281-6112",0,"Not Claimed"
9,"Bread","Non-Vegetarian","Snacks",46,"2025-03-25",47,"Wong-Reese","East Andrewland","Supermarket","483-625-4097",143,"Completed"
9,"Bread","Non-Vegetarian","Snacks",46,"2025-03-25",47,"Wong-Reese","East Andrewland","Supermarket","483-625-4097",860,"Cancelled"
10,"Rice","Vegan","Dinner",41,"2025-03-20",528,"Baird PLC","Markport","Supermarket","001-930-122-6265-199",0,"Not Claimed"
11,"Pasta","Vegan","Breakfast",39,"2025-03-17",96,"Pierce, Walsh and Rogers","Deborahland","Grocery Store","+1-065-024-5251-529",471,"Cancelled"
12,"Pasta","Vegetarian","Lunch",15,"2025-03-28",899,"Jackson, Lee and Hodge","North Steven","Catering Service","001-319-954-4598-21954",0,"Not Claimed"
